Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,Transfer,second choice,Management (evening attendance),evening,Secondary education,160,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Administrative staff,Intermediate Level Technicians and Professions,120,no,no,no,yes,female,no,30,no,4,7,9,7,14.1428571428571,0,1,5,5,5,14.8,0,7.6,2.6,0.32,Graduate
single,Technological specialization diploma holders,second choice,Veterinary Nursing,daytime,Technological specialization course,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140,yes,no,no,yes,female,no,29,no,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,seventh choice,Nursing,daytime,Secondary education,140,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,131.5,yes,no,no,yes,female,no,19,no,0,8,8,8,13.25375,0,0,8,8,8,13.25375,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,seventh choice,Oral Hygiene,daytime,Secondary education,115,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,112.2,yes,no,no,yes,female,no,20,no,0,7,7,7,13.7857142857143,0,0,8,8,8,14.1,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,144,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,150.5,no,no,no,yes,female,no,20,no,0,7,7,6,13.9166666666667,0,0,7,7,6,13.9166666666667,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,fifth choice,Advertising and Marketing Management,daytime,Secondary education,128,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",121,yes,no,no,yes,female,no,19,no,0,6,8,6,13.5,0,0,6,9,6,13.5714285714286,0,11.1,0.6,2.02,Graduate
widower,1st phase - general contingent,third choice,Veterinary Nursing,daytime,Secondary education,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,129.4,yes,no,no,yes,female,no,21,no,0,5,8,0,0,4,0,5,12,0,0,4,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,second choice,Advertising and Marketing Management,daytime,Secondary education,121,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Armed Forces Professions,114.4,no,no,no,yes,female,no,19,no,0,6,10,5,11.5,0,0,6,9,4,14.6,0,11.1,0.6,2.02,Graduate
single,1st phase - general contingent,fourth choice,Nursing,daytime,Secondary education,134,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,12.0828571428571,0,0,8,8,7,12.0828571428571,0,10.8,1.4,1.74,Graduate
single,Over 23 years old,second choice,Social Service (evening attendance),evening,Secondary education,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,120,no,no,no,yes,female,yes,27,no,0,6,8,6,11.8333333333333,0,0,6,10,5,12.8,0,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,third choice,Management,daytime,Secondary education,125,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Installation and Machine Operators and Assembly Workers,114.5,yes,no,no,yes,female,yes,19,no,0,5,6,5,13.4,0,0,5,5,5,12.4,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,141,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Other Situation,Intermediate Level Technicians and Professions,127.8,no,no,no,yes,female,yes,19,no,0,7,7,0,0,2,0,7,7,0,0,2,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,second choice,Journalism and Communication,daytime,Secondary education,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,124.6,yes,no,no,yes,female,no,19,no,0,6,7,5,14.2,0,0,6,7,6,14.5714285714286,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,seventh choice,Nursing,daytime,Secondary education,144,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",130.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.8142857142857,0,0,8,8,7,13.8142857142857,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,second choice,Advertising and Marketing Management,daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",118.8,no,no,no,yes,female,yes,18,no,0,6,6,6,14.5,0,0,6,8,6,13.6666666666667,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,sixth choice,Advertising and Marketing Management,daytime,Secondary education,133.1,Portuguese,12th Year of Schooling - Not Completed,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,133,yes,no,no,yes,female,no,19,no,0,6,0,0,0,0,0,6,0,0,0,0,7.6,2.6,0.32,Dropout
married,Over 23 years old,second choice,Nursing,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,129,yes,no,no,yes,female,no,36,no,0,7,7,6,11.3,0,0,7,7,6,11.3,0,7.6,2.6,0.32,Graduate
single,2nd phase - general contingent,seventh choice,Nursing,daytime,Secondary education,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,132.5,yes,no,no,yes,female,no,19,no,0,8,9,7,12.3,0,0,8,9,7,12.3,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,sixth choice,Nursing,daytime,Secondary education,127,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,120.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,12.6942857142857,0,0,8,8,7,12.6942857142857,0,10.8,1.4,1.74,Graduate
single,2nd phase - general contingent,second choice,Advertising and Marketing Management,daytime,Secondary education,123,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",114.6,no,no,no,yes,female,no,18,no,0,5,5,4,11,0,0,5,5,4,11,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,second choice,Social Service,daytime,Secondary education,128,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,116.5,yes,no,no,yes,female,yes,19,no,0,6,6,6,13,0,0,6,6,6,14.1666666666667,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,128,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",127.8,no,no,no,yes,female,yes,19,no,0,7,8,7,14.4125,0,0,8,8,8,16.05,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,third choice,Nursing,daytime,Secondary education,140,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",129.9,yes,no,no,yes,female,no,18,no,0,7,8,7,12.92875,0,0,8,8,8,14.0625,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,third choice,Journalism and Communication,daytime,Secondary education,121,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",118.9,yes,no,no,yes,female,no,20,no,0,6,6,6,13.3333333333333,0,0,6,10,5,12.8,0,11.1,0.6,2.02,Graduate
single,3rd phase - general contingent,second choice,Nursing,daytime,Secondary education,126,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",114.8,yes,no,no,yes,female,no,20,no,0,8,8,7,14.4028571428571,0,0,8,8,7,14.4028571428571,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,fifth choice,Nursing,daytime,Secondary education,135,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,123,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.3814285714286,0,0,8,8,7,13.3814285714286,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,third choice,Nursing,daytime,Secondary education,131,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",122.1,yes,no,no,yes,female,no,18,no,0,7,8,7,14.13125,0,0,8,8,8,13.98375,0,15.5,2.8,-4.06,Graduate
single,2nd phase - general contingent,fifth choice,Veterinary Nursing,daytime,Secondary education,140,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",123.7,no,no,no,yes,female,no,19,no,0,5,11,5,11.7142857142857,2,0,5,6,5,12.6,0,9.4,-0.8,-3.12,Graduate
married,Over 23 years old,second choice,Social Service (evening attendance),evening,Secondary education,130,Portuguese,Unknown,Unknown,(blank),(blank),114.8,no,no,no,yes,female,no,44,no,0,6,9,6,11.1666666666667,0,1,6,15,2,11,1,7.6,2.6,0.32,Graduate
single,Holders of other higher courses,second choice,Agronomy,daytime,Higher education - degree,130,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",130,no,no,no,yes,female,no,32,no,0,6,7,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,Dropout
single,Change of course,second choice,Basic Education,daytime,Secondary education,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,122.3,no,no,no,yes,female,no,22,no,0,6,9,5,13.6,0,0,6,8,5,12,0,12.7,3.7,-1.7,Dropout
married,Over 23 years old,second choice,Agronomy,daytime,Secondary education,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,152.4,yes,no,no,yes,female,no,36,no,4,12,14,12,13.8461538461538,0,5,12,18,11,14.0909090909091,0,8.9,1.4,3.51,Graduate
single,2nd phase - general contingent,second choice,Journalism and Communication,daytime,Secondary education,125,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",120.1,no,no,no,yes,female,yes,18,no,0,6,7,6,12.5,0,0,6,8,6,13.3333333333333,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,second choice,Equinculture,daytime,Secondary education,160,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,155.1,yes,no,no,yes,female,no,20,no,0,5,5,5,16.4,0,0,5,5,5,14.6,0,12.7,3.7,-1.7,Graduate
single,Change of institution/course,second choice,Communication Design,daytime,Secondary education,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",124.5,no,no,no,yes,female,yes,20,no,5,11,11,11,13.8181818181818,0,5,11,11,11,13.4545454545455,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,second choice,Social Service,daytime,Secondary education,144,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,126.9,no,no,no,yes,female,no,19,no,0,6,8,5,10.6,0,0,6,11,4,10.5,0,15.5,2.8,-4.06,Graduate
single,Over 23 years old,second choice,Management,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",153.2,yes,no,yes,yes,female,no,24,no,0,5,8,5,10.2,0,0,5,6,5,12.2,0,12.4,0.5,1.79,Graduate
single,Change of course,second choice,Social Service (evening attendance),evening,Secondary education,133.1,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,135,no,no,no,yes,female,no,27,no,7,10,10,9,11.4444444444444,0,4,11,11,5,10.8,0,10.8,1.4,1.74,Dropout
single,Change of course,seventh choice,Social Service,daytime,Secondary education,129,Portuguese,Unknown,Unknown,Student,Student,125.2,no,no,no,yes,female,yes,23,no,15,16,18,16,13,0,11,13,15,13,13.2666666666667,0,9.4,-0.8,-3.12,Graduate
single,1st phase - general contingent,sixth choice,Nursing,daytime,Secondary education,144,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Installation and Machine Operators and Assembly Workers,141.3,yes,no,no,yes,female,yes,18,no,0,8,9,8,13.31,1,0,8,9,8,13.31,1,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,second choice,Social Service,daytime,Secondary education,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,117.1,yes,no,no,yes,female,yes,18,no,0,6,10,5,10.5714285714286,1,0,6,9,5,12.2,0,12.7,3.7,-1.7,Graduate
single,2nd phase - general contingent,fourth choice,Nursing,daytime,Secondary education,144,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,126.5,yes,no,no,yes,female,yes,20,no,0,8,8,7,13.4871428571429,0,0,8,8,7,13.4871428571429,0,10.8,1.4,1.74,Graduate
single,1st phase - general contingent,second choice,Tourism,daytime,Secondary education,132,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",120.1,no,no,no,yes,female,yes,20,no,0,6,6,6,12.3333333333333,0,0,6,7,6,11.8333333333333,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,second choice,Advertising and Marketing Management,daytime,Secondary education,142,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,128.4,no,no,no,yes,female,no,23,no,0,6,11,6,11.875,0,0,6,9,5,12.8333333333333,0,11.1,0.6,2.02,Dropout
single,1st phase - general contingent,third choice,Nursing,daytime,Secondary education,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,140,yes,no,no,yes,female,no,20,no,0,7,7,6,13.9666666666667,0,0,7,7,6,13.9666666666667,0,7.6,2.6,0.32,Graduate
single,Over 23 years old,second choice,Tourism,daytime,12th year of schooling - not completed,133.1,Portuguese,Unknown,Unknown,Student,Student,110,yes,no,no,no,female,no,28,no,0,5,10,0,0,0,0,5,10,0,0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,second choice,Advertising and Marketing Management,daytime,Secondary education,122,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",116.8,yes,no,no,yes,female,no,21,no,0,5,8,4,11.5,0,0,5,5,5,12.8,0,7.6,2.6,0.32,Graduate
single,1st phase - general contingent,third choice,Oral Hygiene,daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,104.5,yes,no,no,yes,female,no,21,no,0,2,2,2,12.5,0,0,7,0,0,0,0,12.4,0.5,1.79,Dropout
single,Holders of other higher courses,second choice,Nursing,daytime,Higher education - degree,140,Portuguese,Unknown,Unknown,Student,Student,140,no,no,no,yes,female,no,28,no,0,7,0,0,0,0,0,8,0,0,0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,117,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,113.2,no,yes,no,yes,female,no,18,no,0,7,10,6,11.98,0,0,8,11,7,13.225,0,16.2,0.3,-0.92,Graduate
single,1st phase - general contingent,second choice,Nursing,daytime,Secondary education,136,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,123.8,no,no,no,yes,female,no,19,no,0,7,10,6,11.6142857142857,0,0,8,8,8,14.0375,0,13.9,-0.3,0.79,Graduate
single,3rd phase - general contingent,seventh choice,Nursing,daytime,Secondary education,141,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",126.7,yes,no,no,yes,female,yes,18,no,0,8,8,7,14.3142857142857,0,0,8,8,7,14.3142857142857,0,12.7,3.7,-1.7,Graduate
single,1st phase - general contingent,fourth choice,Nursing,daytime,Secondary education,130,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",133.8,no,no,no,yes,female,no,19,no,0,7,0,0,0,0,0,8,0,0,0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,fourth choice,Nursing,daytime,Secondary education,102,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",100.6,yes,no,no,yes,female,yes,20,no,0,7,9,6,12.7666666666667,0,0,8,10,7,12.1285714285714,0,12.4,0.5,1.79,Graduate
single,2nd phase - general contingent,second choice,Basic Education,daytime,Secondary education,126,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,132.7,no,no,no,yes,female,yes,18,no,0,6,7,6,12.6666666666667,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Graduate
single,Change of course,third choice,Advertising and Marketing Management,daytime,Secondary education,125,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,106.6,yes,no,no,yes,female,no,20,no,4,6,7,6,11.5,0,0,6,10,4,10.5714285714286,0,10.8,1.4,1.74,Dropout
single,Over 23 years old,second choice,Advertising and Marketing Management,daytime,Secondary education,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,140.4,no,no,no,yes,female,no,31,no,2,6,13,5,11.4,0,0,6,14,4,11.75,0,13.9,-0.3,0.79,Dropout
single,2nd phase - general contingent,fourth choice,Nursing,daytime,Secondary education,132,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",128.3,yes,no,no,yes,female,yes,19,no,0,7,8,7,14.70625,0,0,8,8,8,14.4775,0,15.5,2.8,-4.06,Graduate
single,1st phase - general contingent,fourth choice,Nursing,daytime,Secondary education,128,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",118.6,yes,no,no,yes,female,yes,19,no,0,7,9,6,11.8142857142857,0,0,8,8,7,13.5428571428571,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,second choice,Communication Design,daytime,Secondary education,115,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,123.4,no,no,no,yes,female,no,23,no,1,6,8,6,13,1,0,6,8,6,11.875,0,13.9,-0.3,0.79,Graduate
single,1st phase - general contingent,second choice,Advertising and Marketing Management,daytime,Secondary education,125,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",124,no,no,no,yes,female,no,19,no,0,6,7,6,14.8571428571429,0,0,6,6,6,13.3333333333333,0,12.4,0.5,1.79,Graduate
single,1st phase - general contingent,seventh choice,Nursing,daytime,Secondary education,137,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,121.3,yes,no,no,yes,female,no,20,no,0,7,7,6,12.6,0,0,7,7,6,12.6,0,7.6,2.6,0.32,Graduate
single,Holders of other higher courses,fourth choice,Equinculture,daytime,Higher education - degree,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,"Personal Services, Security and Safety Workers and Sellers",130,no,no,yes,no,female,no,27,no,1,5,6,2,11.5,0,0,5,5,1,11,0,12.7,3.7,-1.7,Dropout
single,Over 23 years old,second choice,Oral Hygiene,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,100,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120,no,no,no,yes,female,no,29,no,0,7,9,1,10,0,0,7,0,0,0,0,12.7,3.7,-1.7,Dropout
single,2nd phase - general contingent,second choice,Tourism,daytime,Secondary education,122,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,130.4,yes,no,no,yes,female,no,18,no,0,6,10,5,11.8,0,0,6,10,5,12.2,0,11.1,0.6,2.02,Graduate
single,2nd phase - general contingent,second choice,Communication Design,daytime,Secondary education,126,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",118.7,no,no,no,yes,female,no,18,no,0,6,7,5,11.8,0,0,6,6,6,12.6666666666667,0,16.2,0.3,-0.92,Graduate
single,2nd phase - general contingent,second choice,Nursing,daytime,Secondary education,128,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",131.5,no,no,no,yes,female,no,18,no,0,8,8,8,12.77125,0,0,8,8,8,12.77125,0,9.4,-0.8,-3.12,Graduate
single,2nd phase - general contingent,third choice,Tourism,daytime,Secondary education,128,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,129.1,yes,no,no,yes,female,no,18,no,0,6,6,6,12.6666666666667,0,0,6,7,5,14.6,0,11.1,0.6,2.02,Graduate
single,Holders of other higher courses,third choice,Veterinary Nursing,daytime,Higher education - degree,130,Portuguese,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",130,no,no,no,no,female,no,28,no,0,5,9,1,12,1,0,4,10,0,0,4,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,third choice,Nursing,daytime,Secondary education,135,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",132.8,yes,no,no,yes,female,yes,18,no,0,8,12,7,11.7214285714286,0,0,8,12,7,11.7214285714286,0,12.7,3.7,-1.7,Graduate
